id;section;formula;status
H1;3.1 Mannigfaltigkeit und Koordinaten;M₆ = M₄ × T₂;model
H2;3.1 Mannigfaltigkeit und Koordinaten;xᴬ = (x^μ, τ, θ), μ = 0,1,2,3;model
H3;3.2 Produktansatz für die Metrik;ds² = g_{μν}(x) dx^μ dx^ν + A(x)² dτ² + R_θ(x)² dθ²;model
H4;3.2 Produktansatz für die Metrik;g₆ = g₄ A² R_θ²;model
H5;3.2 Produktansatz für die Metrik;√(-g₆) = √(-g₄) A R_θ;model
H6;3.3 Lokale geometrische Ableitungen;Γ^τ_{τμ} = ∂_μ ln A;model
H7;3.3 Lokale geometrische Ableitungen;Γ^θ_{θμ} = ∂_μ ln R_θ;model
H8;3.3 Lokale geometrische Ableitungen;R₆ = R₄ - 2□lnA - 2□lnR_θ - (∂lnA)² - (∂lnR_θ)² - (∂lnA)(∂lnR_θ);model
H9;4.1 Gravitationssektor;S₆ = ∫ d⁶x √(-g₆) [ (1/(2κ₆²)) R₆ - Λ₆ + L_Θ + L_B ] + S_matter;model
H10;4.1 Gravitationssektor;S_matter = ∫ d⁴x √(-g₄) L_SM(g_{μν}, Ψ);model
H11;4.2 Bulk-Lagrangedichten;L_Θ = -1/2 [ Z_Θ^(4) g^{μν} ∂_μΘ ∂_νΘ + Z_Θ^(τ) g^{ττ}(∂_τΘ)² + Z_Θ^(θ) g^{θθ}(∂_θΘ)² ] - V_Θ(Θ);model
H12;4.2 Bulk-Lagrangedichten;L_B = -1/2 [ Z_B^(4) g^{μν} ∂_μB ∂_νB + Z_B^(τ) g^{ττ}(∂_τB)² + Z_B^(θ) g^{θθ}(∂_θB)² ] - V_B(B);model
H13;4.2 Bulk-Lagrangedichten;V_Θ(Θ) = 1/2 m_Θ² Θ² + λ₄ Θ⁴ / 4! + ...;model
H14;4.2 Bulk-Lagrangedichten;V_B(B) = 1/2 (1/R_θ²) B² + O(B⁴);model
H15;4.2 Bulk-Lagrangedichten;m_B = R_θ⁻¹;model
H16;4.3 Fundamentale 6D-EOM;R_{AB} - 1/2 g_{AB} R₆ + Λ₆ g_{AB} = κ₆² T_{AB};model
H17;4.3 Fundamentale 6D-EOM;Z_Θ^(4) □₄Θ + Z_Θ^(τ) ∂_τ(g^{ττ}∂_τΘ) + Z_Θ^(θ) ∂_θ(g^{θθ}∂_θΘ) - ∂V_Θ/∂Θ = 0;model
H18;4.3 Fundamentale 6D-EOM;Z_B^(4) □₄B + Z_B^(τ) ∂_τ(g^{ττ}∂_τB) + Z_B^(θ) ∂_θ(g^{θθ}∂_θB) - ∂V_B/∂B = 0;model
H19;5.1 Zero-Mode-Ansatz;Θ(x^μ,τ,θ) = f₀(τ,θ) · ϑ(x^μ) + schwere Moden;conditional
H20;5.1 Zero-Mode-Ansatz;B(x^μ,τ,θ) = g₀(τ,θ) · b(x^μ) + schwere Moden;conditional
H21;5.1 Zero-Mode-Ansatz;∫ dτ dθ A R_θ f₀² = 1;conditional
H22;5.1 Zero-Mode-Ansatz;∫ dτ dθ A R_θ g₀² = 1;conditional
H23;5.2 Internes Volumen und Gravitationsmatching;V₂ = ∫ dτ dθ A R_θ;conditional
H24;5.2 Internes Volumen und Gravitationsmatching;1/κ₄² = V₂ / κ₆²;conditional
H25;5.3 Effektive 4D-Wirkung;S_eff = ∫ d⁴x √(-g₄) [ (1/(2κ₄²))R₄ - Λ₄ + 1/2 Z_{Θ,eff}(∂ϑ)² - V_{Θ,eff}(ϑ) + 1/2 Z_{B,eff}(∂b)² - V_{B,eff}(b) + L_SM ];conditional
H26;5.3 Effektive 4D-Wirkung;G_{μν} = κ₄² [ T_{μν}^{matter} + T_{μν}^{(ϑ)} + T_{μν}^{(b)} ];conditional
H27;5.3 Effektive 4D-Wirkung;Z_Θ □ϑ - dV_Θ/dϑ = 0;conditional
H28;5.3 Effektive 4D-Wirkung;Z_B □b - dV_B/db = 0;conditional
H29;7.1 Dynamisches Potential;Φ_dyn = Φ_N + Φ_ϑ;open
H30;7.1 Dynamisches Potential;∇²Φ_dyn = 4πGρ_b + S_Θ;open
H31;7.1 Dynamisches Potential;S_Θ ≈ ∇·[ μ(|∇ϑ|/a₀) ∇ϑ ];open
H32;7.2 Effektive Driftgleichung;∂_τ ϑ = βϑ - λ_Θ ∇²ϑ;open
H33;7.2 Effektive Driftgleichung;∇²ϑ - (β/λ_Θ)ϑ = 0;open
H34;8.1 Kosmische Verankerung;a₀ = λ_Θ c β;historical
H35;8.1 Kosmische Verankerung;β = H₀;historical
H36;8.1 Kosmische Verankerung;a₀ = λ_Θ c H₀;historical
H37;8.2 MDAR und Übergangsregime;g_obs = |∇Φ_dyn|;historical
H38;8.2 MDAR und Übergangsregime;g_bar = |∇Φ_N|;historical
H39;8.2 MDAR und Übergangsregime;g_obs = √(a₀ g_bar);historical
H40;8.2 MDAR und Übergangsregime;g_obs = g_bar ν(g_bar/a₀);historical
H41;8.2 MDAR und Übergangsregime;ν(y) = 1/2 + √(1/4 + 1/y);historical
H42;8.3 BTFR;v⁴ = G a₀ M_b;historical
H43;9.1 Zweipotential-Struktur;∇²Φ_len = 4πGρ + S_B;open
H44;9.1 Zweipotential-Struktur;(∇² - m_B²)b = J_B;open
H45;9.1 Zweipotential-Struktur;S_B ≈ α_B m_B² b;open
H46;9.2 Slip- und Massenrelationen;η = Φ_len / Φ_dyn;open
H47;9.2 Slip- und Massenrelationen;η(r) = Φ_len'(r) / Φ_dyn'(r);open
H48;9.2 Slip- und Massenrelationen;M_len(r) = r² Φ_len'(r) / G;open
H49;9.2 Slip- und Massenrelationen;M_dyn(r) = r² Φ_dyn'(r) / G;open
H50;9.2 Slip- und Massenrelationen;M_len / M_dyn = η;open
H51;9.3 Yukawa-Asymptotik;b(r) ∝ e^{-m_B r} / r;open
H52;10. GW-Sektor;δφ(f) = β / f;open
H53;10. GW-Sektor;β ↔ H₀;open
H54;11. Statistik und Inferenz;L(θ) = exp(-χ²(θ)/2);established
H55;11. Statistik und Inferenz;χ²(θ) = Σ_i ((d_i - m_i(θ))/σ_i)²;established
H56;11. Statistik und Inferenz;P(θ|D) ∝ L(θ) π(θ);established
H57;11. Statistik und Inferenz;ℒ_RC = exp[-1/2 Σ_i (V_obs,i - V_model,i)² / σ_i²];diagnostic
H58;11. Statistik und Inferenz;ℒ_SLIP = exp[-1/2 Σ_r (M_len/M_dyn - η_obs(r))² / σ_η(r)²];diagnostic
H59;11. Statistik und Inferenz;ℒ_GW = exp[-1/2 Σ_f (φ_obs(f) - φ_GR(f) - β_GW/f)² / σ_φ(f)²];diagnostic
H60;12.1 EFT-Konsistenz;Z_Θ^(4) > 0, Z_B^(4) > 0;diagnostic
H61;12.1 EFT-Konsistenz;Z_Θ^(τ), Z_B^(τ) ≥ 0;diagnostic
H62;12.1 EFT-Konsistenz;Z_Θ^(θ), Z_B^(θ) ≥ 0;diagnostic
H63;12.1 EFT-Konsistenz;m_Θ² ≥ 0, m_B² ≥ 0;diagnostic
H64;12.1 EFT-Konsistenz;μ(x) → 1 für x ≫ 1, μ(x) → x für x ≪ 1;diagnostic
