run_id,backend,resolution,sign,magnitude,delta,residual_infinity_norm,residual_l2_norm,floor,floor_separation,fit_eligible
C1V-G1.1-20260803-001,independent,50,-1,0.08,-0.08,0.0019177257687534865,0.0030906836525001562,9.560929730164828e-09,200579.42301396094,true
C1V-G1.1-20260803-001,independent,50,-1,0.04,-0.04,0.0004682013140284713,0.0007626446731195447,9.560929730164828e-09,48970.27038607883,true
C1V-G1.1-20260803-001,independent,50,-1,0.02,-0.02,0.00011569512988762742,0.00018945597245746413,9.560929730164828e-09,12100.824203592685,true
C1V-G1.1-20260803-001,independent,50,-1,0.01,-0.01,2.876028095200045e-05,4.722024144521258e-05,9.560929730164828e-09,3008.1050445608316,true
C1V-G1.1-20260803-001,independent,50,-1,0.005,-0.005,7.172944415323457e-06,1.1791464871081919e-05,9.560929730164828e-09,750.2350312954133,true
C1V-G1.1-20260803-001,independent,50,-1,0.0025,-0.0025,1.7942462706699303e-06,2.9503942650234353e-06,9.560929730164828e-09,187.66441353596247,true
C1V-G1.1-20260803-001,independent,50,-1,0.00125,-0.00125,4.5182740193716597e-07,7.421753920028081e-07,9.560929730164828e-09,47.25768462785016,false
C1V-G1.1-20260803-001,independent,50,1,0.08,0.08,0.0018329063929084597,0.002941094721758696,9.560929730164828e-09,191707.96613279375,true
C1V-G1.1-20260803-001,independent,50,1,0.04,0.04,0.00045777509277183487,0.0007439611381499219,9.560929730164828e-09,47879.76752172437,true
C1V-G1.1-20260803-001,independent,50,1,0.02,0.02,0.00011440238922471784,0.00018712089645643893,9.560929730164828e-09,11965.613434410794,true
C1V-G1.1-20260803-001,independent,50,1,0.01,0.01,2.8599296105026107e-05,4.692831750414525e-05,9.560929730164828e-09,2991.2672629310355,true
C1V-G1.1-20260803-001,independent,50,1,0.005,0.005,7.152843788658518e-06,1.1754953781071933e-05,9.560929730164828e-09,748.1326597445042,true
C1V-G1.1-20260803-001,independent,50,1,0.0025,0.0025,1.79172756382939e-06,2.945820220766892e-06,9.560929730164828e-09,187.40097609717512,true
C1V-G1.1-20260803-001,independent,50,1,0.00125,0.00125,4.5150826906212104e-07,7.415982643298706e-07,9.560929730164828e-09,47.22430577411399,false
C1V-G1.1-20260803-001,independent,100,-1,0.08,-0.08,0.0019177209137795082,0.0030906773431350846,5.976472921013429e-10,3208783.7410536124,true
C1V-G1.1-20260803-001,independent,100,-1,0.04,-0.04,0.00046819664968178465,0.0007626385156231835,5.976472921013429e-10,783399.6001815611,true
C1V-G1.1-20260803-001,independent,100,-1,0.02,-0.02,0.00011569055809079742,0.00018944989321666937,5.976472921013429e-10,193576.64565671587,true
C1V-G1.1-20260803-001,independent,100,-1,0.01,-0.01,2.8755755184350917e-05,4.7214201833411765e-05,5.976472921013429e-10,48114.92591766786,true
C1V-G1.1-20260803-001,independent,100,-1,0.005,-0.005,7.168443512006739e-06,1.1785445431895233e-05,5.976472921013429e-10,11994.438202509564,true
C1V-G1.1-20260803-001,independent,100,-1,0.0025,-0.0025,1.7897556321422314e-06,2.944371196627716e-06,5.976472921013429e-10,2994.6686880307043,true
C1V-G1.1-20260803-001,independent,100,-1,0.00125,-0.00125,4.4734127535583923e-07,7.361074256469339e-07,5.976472921013429e-10,748.5038103041948,true
C1V-G1.1-20260803-001,independent,100,1,0.08,0.08,0.0018329020623104135,0.0029410890482326076,5.976472921013429e-10,3066862.4898573267,true
C1V-G1.1-20260803-001,independent,100,1,0.04,0.04,0.00045777068535115964,0.0007439552998920907,5.976472921013429e-10,765954.587933673,true
